id;price;address;neighborhood/city;rooms;garage;bathroom;square_meter;type;suite;gym;balcony;hall;transaction_type;lat;long
590127;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;9;0;0;0;0;Alguel;;
581862;69900;Rua Miosótis; Usina;1;0;1;700;9;0;0;0;0;Alguel;;
682838;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
664573;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;9;0;0;0;0;Alguel;;
820820;90000;Estrada Municipal Jayme Gibim; Jardim dos Pinheiros;1;0;1;500;8;0;0;0;0;Alguel;;
933347;49900;Rua José Alvim; Centro;1;0;1;600;8;0;0;0;0;Alguel;-23.1168611;-46.5537288
522464;415000;Rua das Juritis; Encantada;3;2;3;92;6;1;0;0;0;Alguel;;
403690;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
144773;25000;Boa Vista; Igaratá;1;0;1;500;8;0;0;0;0;Alguel;-23.1618308;-46.1591984
419360;70000;Rua Miosótis; Usina;1;0;1;700;8;0;0;0;0;Alguel;;
84095;49900;Recanto das Águas; Igaratá;1;0;1;600;8;0;0;0;0;Alguel;;
912502;30000;Avenida João Manoel; Centro;1;0;1;500;8;0;0;0;0;Alguel;-23.3952208;-46.3285622
991328;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Alguel;-27.2756702;-48.8501803
482706;550000;Rua José Juvenil; Parque Havai;3;2;3;110;6;1;0;0;0;Alguel;-3.9058901;-38.4479822
763179;60000;Rua José Prianti Sobrinho; Recanto das Águas;1;0;1;600;8;0;0;0;0;Alguel;;
193680;250000;Rua José Prianti Sobrinho; Parque Alpina;1;0;1;500;9;0;0;0;0;Alguel;;
29630;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
87476;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
379544;75000;Largo de Pau da Lima; Pau da Lima;2;1;1;75;6;1;1;0;0;Alguel;;
708227;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
104017;29900;Avenida Manoel Ferraz de Campos Sales; Centro;1;0;1;500;8;0;0;0;0;Alguel;;
908599;555000;Rua Francisco Rabelo Leite Neto; Atalaia;3;2;3;98;2;1;0;0;0;Alguel;-10.9931682;-37.053729
38044;29990;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
211035;30000;Rua Habib Tanuri; Center Ville;1;0;1;500;8;0;0;0;0;Alguel;-23.3909975;-46.326398
388463;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
250760;30000;Área Rural; Area Rural de Aruja;1;0;1;500;8;0;0;0;0;Alguel;;
555648;49900;Centro; Nazaré Paulista;1;0;1;600;8;0;0;0;0;Alguel;-23.1824754;-46.398502
363036;30000;Rua Albino Rodrigues Neves; Center Ville;1;0;1;500;8;0;0;0;0;Alguel;-23.3952774;-46.327251
410854;60000;Rua Acre; Centro;1;0;1;600;8;0;0;0;0;Alguel;-22.5543186;-47.4012711
79347;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8;0;0;0;0;Alguel;;
639318;30000;Avenida Manoel Ferraz de Campos Sales; Centro;1;0;1;500;8;0;0;0;0;Alguel;;
208709;530000;Rua Arruda Alvim; Pinheiros;1;1;1;27;2;0;0;0;0;Alguel;-23.5537614;-46.675061
315239;30000;Rua Albino Rodrigues Neves; Centro;1;0;1;500;8;0;0;0;0;Alguel;-23.3952774;-46.327251
539868;30000;Avenida João Manoel; Centro;1;0;1;500;8;0;0;0;0;Alguel;-23.3952208;-46.3285622
688565;30000;Avenida João Manoel; Centro;1;0;1;500;8;0;0;0;0;Alguel;-23.3952208;-46.3285622
620791;467850;Avenida Joaquina Ramalho; Vila Guilherme;2;1;2;60;2;1;0;0;0;Alguel;-23.509002;-46.6055535
951935;49900;Rua José Alvim; Centro;1;0;1;600;8;0;0;0;0;Alguel;-23.1168611;-46.5537288
882476;25000;Rua José Prianti Sobrinho; 415;1;0;1;500;8;0;0;0;0;Alguel;;
710277;60000;Rua José Prianti Sobrinho; Recanto das Águas;1;0;1;600;8;0;0;0;0;Alguel;;
600267;35000;Centro; Santa Isabel;1;0;1;1000;8;0;0;0;0;Alguel;-15.3000401;-49.4271365
726976;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Alguel;;
